2014-12-09 01:45:06,089 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from http://maven.rodcoffin.com/repo was cached in the local repository, resolution will not be reattempted until the update interval of jpa-maven-archetype-repo has elapsed or updates are forced. Original error: Could not transfer metadata com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from/to jpa-maven-archetype-repo (http://maven.rodcoffin.com/repo): maven.rodcoffin.com
2014-12-09 01:48:02,437 [ModalContext] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from http://maven.rodcoffin.com/repo was cached in the local repository, resolution will not be reattempted until the update interval of jpa-maven-archetype-repo has elapsed or updates are forced. Original error: Could not transfer metadata com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from/to jpa-maven-archetype-repo (http://maven.rodcoffin.com/repo): maven.rodcoffin.com
2014-12-09 01:48:09,418 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from http://maven.rodcoffin.com/repo was cached in the local repository, resolution will not be reattempted until the update interval of jpa-maven-archetype-repo has elapsed or updates are forced. Original error: Could not transfer metadata com.rfc.maven.archetypes:jpa-maven-archetype/maven-metadata.xml from/to jpa-maven-archetype-repo (http://maven.rodcoffin.com/repo): maven.rodcoffin.com
2014-12-09 01:48:45,493 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/atteo/moonshine/hibernate-archetype/1.1/hibernate-archetype-1.1.jar
2014-12-09 01:48:45,602 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/atteo/moonshine/hibernate-archetype/1.1/hibernate-archetype-1.1.jar
2014-12-09 01:48:52,477 [Worker-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/atteo/moonshine/hibernate-archetype/1.1/hibernate-archetype-1.1.pom
2014-12-09 01:48:52,571 [Worker-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/atteo/moonshine/hibernate-archetype/1.1/hibernate-archetype-1.1.pom
2014-12-09 01:48:52,618 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' F:\Valiantsin-Balshakou-Group-1\Hibernate\pom.xml
2014-12-09 01:49:25,273 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' F:\Valiantsin-Balshakou-Group-1\hibernate\pom.xml
2014-12-09 01:49:25,460 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/atteo/moonshine/bom/1.1/bom-1.1.pom
2014-12-09 01:49:25,554 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/atteo/moonshine/bom/1.1/bom-1.1.pom
2014-12-09 01:49:25,804 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.1/maven-compiler-plugin-3.1.jar
2014-12-09 01:49:25,992 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.1/maven-compiler-plugin-3.1.jar
2014-12-09 01:49:26,117 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.1/maven-compiler-plugin-3.1.pom
2014-12-09 01:49:26,226 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.1/maven-compiler-plugin-3.1.pom
2014-12-09 01:49:26,273 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/24/maven-plugins-24.pom
2014-12-09 01:49:26,367 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/24/maven-plugins-24.pom
2014-12-09 01:49:26,445 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/23/maven-parent-23.pom
2014-12-09 01:49:26,586 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/23/maven-parent-23.pom
2014-12-09 01:49:26,648 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/apache/13/apache-13.pom
